               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059342,            0.024403,            0.048757,             0.47199,             0.46613,             0.42513,             0.22419,                 nan,                 nan,                 nan,            0.070016,           0.0033315,           0.0033315
                   1,            0.047858,            0.021789,            0.023654,             0.52051,             0.49945,             0.48663,             0.26569,                 nan,                 nan,                 nan,            0.039752,           0.0064009,           0.0064009
                   2,            0.048914,            0.022992,            0.025654,             0.42551,             0.39653,             0.34918,             0.16801,                 nan,                 nan,                 nan,           0.0092244,           0.0092063,           0.0092063
                   3,             0.05043,             0.02422,            0.028852,             0.43808,             0.39686,             0.36963,             0.17703,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                   4,             0.04892,            0.023873,            0.026372,               0.481,               0.455,             0.41714,             0.21908,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                   5,            0.046696,            0.023527,            0.023399,             0.53442,             0.46344,             0.46592,             0.25431,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                   6,            0.045339,            0.022963,            0.021627,             0.58491,             0.48111,             0.50451,             0.27821,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                   7,            0.044148,            0.022715,            0.020136,             0.57199,             0.51045,             0.51596,             0.29539,                 nan,                 nan,                 nan,            0.007624,            0.007624,            0.007624
                   8,            0.043516,            0.022351,            0.019202,             0.60343,              0.5267,             0.55326,             0.33108,                 nan,                 nan,                 nan,            0.007228,            0.007228,            0.007228
                   9,            0.042091,            0.021945,            0.017904,             0.62196,             0.54538,             0.56847,             0.33867,                 nan,                 nan,                 nan,            0.006832,            0.006832,            0.006832
                  10,             0.04162,            0.021957,            0.017176,             0.62589,              0.5645,             0.58405,             0.35439,                 nan,                 nan,                 nan,            0.006436,            0.006436,            0.006436
                  11,            0.040726,            0.021562,            0.016223,             0.64894,             0.57801,             0.59702,              0.3664,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  12,            0.039881,            0.021217,            0.015516,             0.63858,              0.5791,              0.6094,             0.38244,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                  13,             0.03934,            0.021038,            0.014539,              0.6608,             0.57987,             0.61957,             0.39318,                 nan,                 nan,                 nan,            0.005248,            0.005248,            0.005248
                  14,            0.038805,            0.020793,            0.014173,             0.66456,              0.5933,             0.63135,             0.40511,                 nan,                 nan,                 nan,            0.004852,            0.004852,            0.004852
                  15,            0.038179,            0.020633,            0.013434,             0.66111,             0.61237,             0.63965,             0.41105,                 nan,                 nan,                 nan,            0.004456,            0.004456,            0.004456
                  16,             0.03746,            0.020413,            0.012956,             0.68595,             0.60524,              0.6449,             0.42007,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  17,            0.037017,            0.020272,            0.012186,             0.67282,             0.62105,              0.6564,             0.43279,                 nan,                 nan,                 nan,            0.003664,            0.003664,            0.003664
                  18,            0.036241,            0.020041,            0.011431,             0.68179,             0.61265,             0.65222,             0.42979,                 nan,                 nan,                 nan,            0.003268,            0.003268,            0.003268
                  19,            0.035655,            0.019675,            0.010918,             0.66887,             0.62775,             0.65936,             0.43616,                 nan,                 nan,                 nan,            0.002872,            0.002872,            0.002872
                  20,            0.034998,            0.019586,            0.010463,             0.68636,             0.63086,              0.6674,             0.44361,                 nan,                 nan,                 nan,            0.002476,            0.002476,            0.002476
                  21,            0.034337,             0.01934,           0.0098659,             0.66979,             0.64594,             0.66839,             0.44689,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  22,            0.033811,            0.019116,           0.0093389,             0.69015,             0.63765,             0.67359,             0.45131,                 nan,                 nan,                 nan,            0.001684,            0.001684,            0.001684
                  23,            0.032998,            0.018885,           0.0089724,             0.69924,             0.63115,             0.67395,             0.45538,                 nan,                 nan,                 nan,            0.001288,            0.001288,            0.001288
                  24,            0.032363,             0.01865,           0.0084359,             0.71088,             0.62695,             0.67552,             0.45845,                 nan,                 nan,                 nan,            0.000892,            0.000892,            0.000892
